GEO,SEX,CAS,LMS,COC,AGE,TIME,VALUE,FLAGS,FOOTNOTES
FR21,M,POP,WID,TOTAL,Y15-29,2011,39,u,
FR21,M,POP,WID,TOTAL,Y30-49,2011,598,,
FR21,M,POP,WID,TOTAL,Y50-64,2011,3026,,
FR21,M,POP,WID,TOTAL,Y65-84,2011,8548,,
FR21,M,POP,WID,TOTAL,Y_GE85,2011,3228,,
FR22,F,POP,DISREP,TOTAL,Y15-29,2011,0,,
FR22,F,POP,DISREP,TOTAL,Y30-49,2011,0,,
FR22,F,POP,DISREP,TOTAL,Y50-64,2011,0,,
FR22,F,POP,DISREP,TOTAL,Y65-84,2011,0,,
FR22,F,POP,DISREP,TOTAL,Y_GE85,2011,0,,
FR22,F,POP,DIV,TOTAL,Y15-29,2011,1332,,
FR22,F,POP,DIV,TOTAL,Y30-49,2011,24408,,
FR22,F,POP,DIV,TOTAL,Y50-64,2011,25372,,
FR22,F,POP,DIV,TOTAL,Y65-84,2011,9114,,
FR22,F,POP,DIV,TOTAL,Y_GE85,2011,890,,
FR22,F,POP,DTHREP,TOTAL,Y15-29,2011,0,,
FR22,F,POP,DTHREP,TOTAL,Y30-49,2011,0,,
FR22,F,POP,DTHREP,TOTAL,Y50-64,2011,0,,
FR22,F,POP,DTHREP,TOTAL,Y65-84,2011,0,,
FR22,F,POP,DTHREP,TOTAL,Y_GE85,2011,0,,
FR22,F,POP,MAR,TOTAL,Y15-29,2011,21261,,
FR22,F,POP,MAR,TOTAL,Y30-49,2011,148115,,
FR22,F,POP,MAR,TOTAL,Y50-64,2011,126983,,
FR22,F,POP,MAR,TOTAL,Y65-84,2011,67923,,
FR22,F,POP,MAR,TOTAL,Y_GE85,2011,3833,,
FR22,F,POP,REP,TOTAL,Y15-29,2011,0,,
FR22,F,POP,REP,TOTAL,Y30-49,2011,0,,
FR22,F,POP,REP,TOTAL,Y50-64,2011,0,,
FR22,F,POP,REP,TOTAL,Y65-84,2011,0,,
FR22,F,POP,REP,TOTAL,Y_GE85,2011,0,,
FR22,F,POP,SIN,TOTAL,Y15-29,2011,153159,,
FR22,F,POP,SIN,TOTAL,Y30-49,2011,85013,,
FR22,F,POP,SIN,TOTAL,Y50-64,2011,18818,,
FR22,F,POP,SIN,TOTAL,Y65-84,2011,7733,,
FR22,F,POP,SIN,TOTAL,Y_GE85,2011,1639,,
FR22,F,POP,UNK,TOTAL,Y15-29,2011,15,u,
FR22,F,POP,UNK,TOTAL,Y30-49,2011,32,u,
FR22,F,POP,UNK,TOTAL,Y50-64,2011,21,u,
FR22,F,POP,UNK,TOTAL,Y65-84,2011,1,u,
FR22,F,POP,UNK,TOTAL,Y_GE85,2011,0,,
FR22,F,POP,WID,TOTAL,Y15-29,2011,99,,
FR22,F,POP,WID,TOTAL,Y30-49,2011,3485,,
FR22,F,POP,WID,TOTAL,Y50-64,2011,16713,,
FR22,F,POP,WID,TOTAL,Y65-84,2011,58018,,
FR22,F,POP,WID,TOTAL,Y_GE85,2011,22079,,
FR22,M,POP,DISREP,TOTAL,Y15-29,2011,0,,
FR22,M,POP,DISREP,TOTAL,Y30-49,2011,0,,
FR22,M,POP,DISREP,TOTAL,Y50-64,2011,0,,
FR22,M,POP,DISREP,TOTAL,Y65-84,2011,0,,
FR22,M,POP,DISREP,TOTAL,Y_GE85,2011,0,,
FR22,M,POP,DIV,TOTAL,Y15-29,2011,598,,
FR22,M,POP,DIV,TOTAL,Y30-49,2011,18719,,
FR22,M,POP,DIV,TOTAL,Y50-64,2011,21883,,
FR22,M,POP,DIV,TOTAL,Y65-84,2011,6328,,
FR22,M,POP,DIV,TOTAL,Y_GE85,2011,248,,
FR22,M,POP,DTHREP,TOTAL,Y15-29,2011,0,,
FR22,M,POP,DTHREP,TOTAL,Y30-49,2011,0,,
FR22,M,POP,DTHREP,TOTAL,Y50-64,2011,0,,
FR22,M,POP,DTHREP,TOTAL,Y65-84,2011,0,,
FR22,M,POP,DTHREP,TOTAL,Y_GE85,2011,0,,
FR22,M,POP,MAR,TOTAL,Y15-29,2011,11661,,
FR22,M,POP,MAR,TOTAL,Y30-49,2011,136178,,
FR22,M,POP,MAR,TOTAL,Y50-64,2011,131329,,
FR22,M,POP,MAR,TOTAL,Y65-84,2011,82970,,
FR22,M,POP,MAR,TOTAL,Y_GE85,2011,6700,,
FR22,M,POP,REP,TOTAL,Y15-29,2011,0,,
FR22,M,POP,REP,TOTAL,Y30-49,2011,0,,
FR22,M,POP,REP,TOTAL,Y50-64,2011,0,,
FR22,M,POP,REP,TOTAL,Y65-84,2011,0,,
FR22,M,POP,REP,TOTAL,Y_GE85,2011,0,,
FR22,M,POP,SIN,TOTAL,Y15-29,2011,168776,,
FR22,M,POP,SIN,TOTAL,Y30-49,2011,103718,,
FR22,M,POP,SIN,TOTAL,Y50-64,2011,24889,,
FR22,M,POP,SIN,TOTAL,Y65-84,2011,7266,,
FR22,M,POP,SIN,TOTAL,Y_GE85,2011,572,,
FR22,M,POP,UNK,TOTAL,Y15-29,2011,12,u,
FR22,M,POP,UNK,TOTAL,Y30-49,2011,40,u,
FR22,M,POP,UNK,TOTAL,Y50-64,2011,30,u,
FR22,M,POP,UNK,TOTAL,Y65-84,2011,3,u,
FR22,M,POP,UNK,TOTAL,Y_GE85,2011,0,,
FR22,M,POP,WID,TOTAL,Y15-29,2011,37,u,
FR22,M,POP,WID,TOTAL,Y30-49,2011,924,,
FR22,M,POP,WID,TOTAL,Y50-64,2011,4499,,
FR22,M,POP,WID,TOTAL,Y65-84,2011,12050,,
FR22,M,POP,WID,TOTAL,Y_GE85,2011,4370,,
FR23,F,POP,DISREP,TOTAL,Y15-29,2011,0,,
FR23,F,POP,DISREP,TOTAL,Y30-49,2011,0,,
FR23,F,POP,DISREP,TOTAL,Y50-64,2011,0,,
FR23,F,POP,DISREP,TOTAL,Y65-84,2011,0,,
FR23,F,POP,DISREP,TOTAL,Y_GE85,2011,0,,
FR23,F,POP,DIV,TOTAL,Y15-29,2011,1046,,
FR23,F,POP,DIV,TOTAL,Y30-49,2011,23644,,
FR23,F,POP,DIV,TOTAL,Y50-64,2011,26473,,
FR23,F,POP,DIV,TOTAL,Y65-84,2011,10232,,
FR23,F,POP,DIV,TOTAL,Y_GE85,2011,1008,,
FR23,F,POP,DTHREP,TOTAL,Y15-29,2011,0,,
FR23,F,POP,DTHREP,TOTAL,Y30-49,2011,0,,
FR23,F,POP,DTHREP,TOTAL,Y50-64,2011,0,,
FR23,F,POP,DTHREP,TOTAL,Y65-84,2011,0,,
FR23,F,POP,DTHREP,TOTAL,Y_GE85,2011,0,,
FR23,F,POP,MAR,TOTAL,Y15-29,2011,19771,,
FR23,F,POP,MAR,TOTAL,Y30-49,2011,140854,,
FR23,F,POP,MAR,TOTAL,Y50-64,2011,123238,,
FR23,F,POP,MAR,TOTAL,Y65-84,2011,68455,,
FR23,F,POP,MAR,TOTAL,Y_GE85,2011,3808,,
FR23,F,POP,REP,TOTAL,Y15-29,2011,0,,
FR23,F,POP,REP,TOTAL,Y30-49,2011,0,,
FR23,F,POP,REP,TOTAL,Y50-64,2011,0,,
FR23,F,POP,REP,TOTAL,Y65-84,2011,0,,
FR23,F,POP,REP,TOTAL,Y_GE85,2011,0,,
FR23,F,POP,SIN,TOTAL,Y15-29,2011,151102,,
FR23,F,POP,SIN,TOTAL,Y30-49,2011,79044,,
FR23,F,POP,SIN,TOTAL,Y50-64,2011,18416,,
FR23,F,POP,SIN,TOTAL,Y65-84,2011,8663,,
FR23,F,POP,SIN,TOTAL,Y_GE85,2011,1969,,
FR23,F,POP,UNK,TOTAL,Y15-29,2011,5,u,
FR23,F,POP,UNK,TOTAL,Y30-49,2011,5,u,
FR23,F,POP,UNK,TOTAL,Y50-64,2011,2,u,
FR23,F,POP,UNK,TOTAL,Y65-84,2011,2,u,
FR23,F,POP,UNK,TOTAL,Y_GE85,2011,0,,
FR23,F,POP,WID,TOTAL,Y15-29,2011,104,,
FR23,F,POP,WID,TOTAL,Y30-49,2011,3352,,
FR23,F,POP,WID,TOTAL,Y50-64,2011,16113,,
FR23,F,POP,WID,TOTAL,Y65-84,2011,57384,,
FR23,F,POP,WID,TOTAL,Y_GE85,2011,23417,,
FR23,M,POP,DISREP,TOTAL,Y15-29,2011,0,,
FR23,M,POP,DISREP,TOTAL,Y30-49,2011,0,,
FR23,M,POP,DISREP,TOTAL,Y50-64,2011,0,,
FR23,M,POP,DISREP,TOTAL,Y65-84,2011,0,,
FR23,M,POP,DISREP,TOTAL,Y_GE85,2011,0,,
